10, 1, 4, 5, 4, 0, 4, 2, 3, 2, 4, 0, 1, 1, 1, 1, 1, 3, 2, 5, 1, 5, 2, 1, 2, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 3, 1, 1, 2, 2, 3, 3, 5, 3, 2, 4, 5, 3, 3, 4, 4, 3, 0, 1, 1, 4, 4, 4, 4, 4, 4, 3, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 4, 4, 2, 4, 4, 4, 1, 2, 0, 4, 4, 5, 3, 4, 4, 4, 5, 5, 4, 4, 4, 0, 5, 5, 1, 1, 1, 4, 4, 4, 2, 0, 4, 3, 1, 1, 5, 4, 4, 0, 5, 5, 1, 1, 1, 1, 1, 1, 1, 4, 3, 1, 1, 1, 2, 0, 1, 5, 1, 4, 4, 4, 4, 4, 5, 1, 5, 5, 0, 1, 1, 5, 5, 4, 4, 3, 1, 1, 3, 4, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 0, 1, 1, 3, 3, 5, 4, 1, 5, 4, 4, 5, 5, 5, 2, 1, 5, 5, 1, 1, 1, 2, 2, 3, 3, 5, 4, 5, 5, 4, 5, 4, 5, 5, 5, 3, 2, 5, 5, 3, 1, 4, 1, 1, 1, 5, 1, 1, 4, 1, 4, 4, 0, 0, 4, 4, 3, 1, 4, 4, 4, 4, 4, 4, 4, 4, 1, 2, 5, 4, 4, 2, 4, 3, 2, 4, 1, 5, 1, 1, 1, 1, 1, 5, 0, 1, 1, 0, 0, 1, 4, 0, 4, 3, 3, 5, 1, 2, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 2, 5, 0, 5, 5, 5, 5, 1, 5, 5, 5, 2, 1, 5, 2, 5, 5, 5, 1, 3, 4, 5, 3, 4, 1, 3, 4, 1, 1, 1, 3, 1, 3, 1, 3, 3, 2, 2, 1, 4, 4, 2, 4, 4, 0, 0
11, 3, 5, 4, 1, 1, 5, 4, 4, 2, 4, 4, 4, 4, 4, 4, 1, 2, 1, 4, 1, 4, 1, 3, 1, 1, 1, 1, 3, 0, 0, 3, 3, 0, 0, 3, 3, 0, 3, 2, 2, 4, 4, 4, 4, 2, 1, 2, 4, 4, 1, 4, 3, 0, 4, 4, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 5, 5, 2, 5, 5, 1, 4, 1, 1, 1, 1, 0, 2, 1, 1, 4, 0, 4, 4, 1, 1, 5, 4, 4, 1, 1, 2, 5, 5, 5, 2, 4, 5, 2, 3, 3, 2, 5, 5, 4, 4, 2, 0, 3, 0, 0, 0, 3, 3, 4, 4, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 4, 4, 5, 4, 4, 0, 0, 5, 5, 4, 3, 0, 2, 1, 4, 3, 3, 3, 0, 3, 0, 3, 3, 2, 4, 0, 5, 3, 4, 3, 4, 1, 4, 5, 5, 2, 0, 0, 0, 2, 2, 0, 0, 1, 1, 4, 2, 2, 3, 4, 4, 5, 4, 4, 5, 4, 1, 4, 2, 4, 4, 3, 2, 4, 3, 0, 5, 3, 3, 3, 0, 0, 3, 5, 1, 5, 5, 5, 5, 5, 5, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 2, 1, 2, 5, 0, 2, 5, 1, 4, 1, 1, 1, 1, 1, 4, 1, 1, 4, 2, 4, 1, 5, 5, 5, 4, 3, 4, 4, 2, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 3, 0, 1, 0, 0, 0, 0, 4, 4, 4, 4, 2, 4, 0, 2, 0, 0, 2, 4, 3, 4, 2, 0, 5, 4, 4, 5, 4, 4, 3, 4, 4, 4, 1, 4, 4, 2, 2, 3, 5, 5, 2, 1, 1, 1, 1
12, 4, 5, 4, 1, 1, 5, 4, 4, 2, 4, 1, 4, 4, 4, 4, 1, 2, 1, 4, 1, 4, 1, 3, 1, 1, 1, 1, 3, 0, 0, 3, 3, 0, 0, 3, 3, 3, 3, 2, 2, 4, 4, 4, 4, 2, 1, 4, 4, 4, 1, 4, 3, 0, 4, 4, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 5, 5, 2, 5, 5, 1, 4, 1, 1, 1, 1, 0, 2, 1, 1, 4, 0, 0, 4, 1, 1, 5, 4, 4, 1, 1, 1, 5, 5, 5, 2, 4, 5, 4, 3, 3, 2, 5, 5, 4, 4, 4, 3, 3, 0, 0, 0, 3, 3, 4, 4, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 5, 4, 4, 0, 0, 5, 5, 4, 3, 0, 2, 1, 2, 3, 3, 3, 0, 3, 3, 3, 3, 2, 4, 0, 5, 3, 4, 3, 4, 1, 4, 1, 1, 4, 0, 0, 0, 2, 1, 2, 0, 1, 1, 4, 2, 2, 3, 4, 4, 5, 4, 2, 1, 2, 1, 4, 4, 4, 4, 3, 4, 4, 2, 0, 5, 3, 3, 3, 0, 0, 3, 5, 1, 5, 5, 5, 5, 5, 5, 4, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 4, 2, 1, 2, 5, 0, 2, 5, 1, 4, 1, 1, 1, 1, 1, 0, 1, 1, 4, 2, 4, 1, 5, 5, 5, 4, 0, 4, 4, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 3, 0, 1, 0, 0, 0, 0, 4, 4, 4, 4, 2, 4, 0, 2, 0, 0, 2, 4, 3, 4, 4, 0, 5, 4, 4, 5, 4, 4, 4, 4, 4, 4, 1, 4, 4, 2, 2, 3, 5, 5, 2, 1, 1, 1, 1
13, 1, 0, 5, 4, 4, 0, 1, 1, 2, 4, 4, 1, 1, 1, 1, 2, 1, 3, 5, 3, 5, 3, 1, 3, 2, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 2, 2, 1, 1, 5, 1, 2, 4, 5, 1, 1, 4, 4, 5, 5, 1, 1, 4, 4, 4, 4, 4, 4, 1, 3, 3, 2, 2, 3, 2, 2, 2, 3, 3, 1, 0, 0, 2, 0, 0, 4, 1, 3, 2, 4, 4, 1, 1, 4, 4, 4, 1, 5, 4, 4, 4, 0, 5, 5, 2, 3, 2, 0, 0, 0, 2, 1, 0, 1, 1, 1, 5, 0, 0, 5, 5, 5, 1, 1, 1, 1, 1, 1, 1, 4, 1, 3, 3, 2, 5, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 5, 5, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 5, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 5, 4, 1, 1, 5, 5, 4, 1, 4, 0, 4, 1, 1, 1, 2, 3, 1, 1, 2, 2, 1, 2, 2, 5, 1, 5, 0, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 1, 0, 1, 1, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 4, 4, 4, 4, 4, 4, 4, 2, 2, 5, 0, 4, 2, 0, 5, 2, 0, 3, 5, 2, 2, 3, 3, 2, 5, 4, 2, 1, 1, 1, 3, 0, 0, 0, 1, 5, 5, 1, 2, 4, 4, 4, 0, 4, 2, 4, 4, 4, 4, 5, 1, 4, 1, 1, 1, 1, 1, 5, 5, 5, 2, 1, 1, 2, 1, 1, 5, 1, 5, 1, 5, 5, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 0, 0, 2, 4, 4, 4, 4
14, 1, 0, 5, 4, 4, 0, 4, 1, 2, 4, 4, 1, 1, 3, 3, 1, 3, 2, 5, 1, 5, 2, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 2, 0, 0, 5, 0, 2, 4, 5, 1, 4, 4, 4, 2, 0, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 1, 3, 3, 1, 3, 3, 3, 1, 1, 1, 0, 0, 2, 0, 0, 4, 1, 3, 3, 4, 4, 1, 0, 4, 4, 4, 1, 5, 4, 4, 4, 0, 5, 5, 3, 1, 1, 0, 0, 0, 2, 4, 0, 3, 1, 1, 5, 0, 0, 4, 5, 5, 1, 1, 1, 1, 1, 1, 1, 4, 3, 1, 3, 3, 3, 3, 5, 4, 4, 4, 4, 4, 4, 4, 4, 1, 5, 5, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 3, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 0, 5, 1, 0, 2, 5, 4, 1, 1, 1, 4, 1, 1, 1, 2, 3, 5, 5, 1, 1, 1, 2, 2, 3, 1, 5, 0, 5, 5, 5, 5, 4, 5, 5, 5, 3, 2, 5, 5, 2, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 4, 4, 4, 4, 4, 4, 1, 2, 5, 4, 4, 2, 0, 4, 2, 0, 3, 5, 1, 1, 1, 1, 1, 5, 4, 1, 1, 4, 4, 3, 0, 0, 0, 1, 4, 5, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 1, 4, 1, 1, 1, 1, 1, 5, 5, 5, 2, 1, 1, 2, 1, 1, 5, 1, 2, 4, 5, 4, 0, 1, 1, 0, 1, 3, 3, 1, 1, 1, 1, 3, 1, 2, 2, 3, 0, 0, 2, 4, 4, 4, 4
15, 1, 0, 1, 4, 4, 4, 0, 5, 2, 4, 4, 1, 1, 5, 1, 2, 5, 3, 1, 3, 5, 3, 1, 3, 2, 3, 3, 1, 5, 1, 1, 1, 1, 1, 1, 0, 1, 1, 2, 2, 5, 5, 1, 5, 2, 4, 1, 1, 0, 4, 4, 0, 0, 1, 1, 4, 4, 4, 4, 4, 4, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 4, 4, 2, 0, 4, 0, 5, 3, 3, 4, 4, 1, 5, 4, 4, 4, 5, 5, 4, 4, 4, 0, 5, 1, 3, 3, 2, 0, 0, 0, 2, 0, 0, 5, 1, 1, 1, 4, 0, 0, 1, 1, 1, 1, 1, 1, 5, 1, 1, 4, 1, 5, 3, 3, 2, 3, 5, 5, 5, 4, 4, 4, 4, 4, 5, 3, 1, 5, 0, 5, 5, 1, 1, 0, 0, 1, 1, 5, 0, 4, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 5, 0, 5, 1, 5, 2, 1, 4, 1, 5, 0, 0, 1, 1, 1, 2, 3, 1, 1, 5, 2, 5, 2, 2, 0, 1, 5, 0, 5, 1, 0, 1, 4, 5, 1, 1, 0, 2, 1, 1, 5, 1, 0, 1, 1, 1, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 0, 5, 3, 4, 0, 0, 4, 4, 4, 4, 4, 2, 2, 1, 4, 0, 2, 4, 5, 2, 4, 3, 1, 3, 3, 3, 3, 3, 5, 4, 2, 5, 0, 0, 3, 4, 4, 4, 1, 2, 1, 1, 2, 4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 2, 1, 0, 1, 1, 1, 1, 5, 1, 1, 1, 2, 5, 1, 2, 1, 1, 1, 5, 2, 0, 1, 5, 0, 1, 1, 0, 5, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 0, 4, 2, 4, 4, 0, 4
16, 1, 0, 1, 4, 4, 0, 1, 1, 2, 4, 4, 1, 1, 1, 1, 2, 1, 3, 1, 3, 2, 3, 1, 3, 2, 3, 3, 1, 2, 5, 5, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 4, 1, 1, 1, 4, 4, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 1, 3, 3, 2, 2, 3, 2, 2, 2, 3, 3, 5, 0, 0, 2, 0, 0, 4, 1, 3, 2, 4, 4, 5, 1, 4, 4, 4, 5, 1, 4, 4, 4, 0, 1, 1, 2, 3, 2, 0, 0, 0, 2, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 3, 3, 2, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 1, 1, 0, 1, 1, 5, 5, 0, 0, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 4, 5, 1, 1, 1, 4, 1, 4, 4, 4, 5, 5, 5, 2, 3, 5, 5, 2, 2, 2, 2, 2, 1, 1, 1, 0, 1, 1, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 5, 5, 1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 1, 4, 4, 2, 0, 1, 2, 0, 3, 1, 2, 2, 3, 3, 2, 1, 4, 2, 1, 1, 1, 3, 0, 0, 0, 1, 1, 1, 1, 2, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 1, 5, 4, 2, 2, 5, 5, 1, 1, 1, 1, 2, 1, 5, 2, 5, 5, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 0, 0, 2, 4, 4, 4, 4
17, 3, 1, 2, 5, 1, 1, 4, 3, 2, 4, 4, 4, 4, 4, 4, 1, 3, 1, 4, 1, 4, 1, 3, 1, 1, 1, 1, 3, 0, 0, 3, 3, 0, 0, 3, 3, 3, 3, 2, 2, 0, 0, 4, 0, 2, 5, 4, 4, 4, 1, 4, 3, 0, 4, 4, 1, 1, 4, 1, 5, 5, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 4, 1, 1, 1, 1, 3, 4, 1, 5, 4, 0, 4, 4, 5, 5, 1, 4, 4, 1, 1, 1, 1, 1, 1, 2, 4, 1, 3, 3, 3, 2, 1, 1, 4, 4, 4, 3, 3, 0, 0, 0, 3, 3, 4, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 1, 4, 4, 0, 0, 1, 1, 4, 3, 0, 4, 5, 4, 3, 3, 3, 3, 3, 0, 3, 3, 2, 4, 0, 5, 3, 2, 3, 4, 1, 4, 1, 1, 4, 0, 0, 0, 2, 1, 0, 0, 1, 1, 4, 2, 2, 3, 4, 4, 1, 4, 4, 1, 2, 1, 4, 4, 4, 4, 3, 2, 4, 3, 0, 1, 3, 3, 3, 0, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 4, 4, 1, 2, 1, 0, 2, 1, 1, 2, 1, 1, 4, 1, 1, 4, 1, 1, 4, 2, 4, 1, 1, 1, 1, 4, 0, 4, 4, 2, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 3, 0, 1, 0, 0, 0, 0, 4, 4, 4, 4, 2, 4, 0, 2, 0, 0, 4, 4, 3, 4, 2, 0, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 2, 2, 4, 1, 1, 2, 5, 5, 1, 1
18, 3, 1, 0, 1, 1, 1, 4, 0, 2, 4, 4, 1, 1, 4, 4, 5, 3, 1, 2, 1, 0, 1, 3, 1, 5, 1, 1, 3, 4, 5, 3, 5, 4, 4, 3, 3, 3, 3, 2, 2, 0, 0, 0, 0, 2, 1, 0, 1, 4, 4, 4, 3, 4, 1, 4, 4, 4, 4, 4, 4, 4, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 5, 4, 1, 1, 4, 1, 4, 0, 1, 4, 4, 4, 0, 4, 4, 5, 1, 0, 0, 1, 1, 5, 1, 1, 1, 2, 4, 1, 3, 3, 3, 0, 1, 1, 0, 0, 2, 3, 3, 4, 4, 4, 3, 3, 4, 4, 1, 1, 1, 3, 1, 5, 2, 1, 1, 4, 1, 4, 1, 1, 1, 0, 0, 1, 4, 4, 5, 5, 1, 1, 4, 3, 4, 0, 1, 4, 3, 3, 3, 3, 4, 3, 3, 3, 2, 4, 4, 5, 4, 0, 3, 0, 1, 4, 5, 5, 4, 5, 4, 4, 2, 1, 5, 5, 5, 5, 4, 2, 2, 3, 1, 0, 1, 0, 0, 5, 0, 1, 0, 0, 0, 0, 3, 0, 0, 3, 4, 1, 5, 3, 3, 5, 4, 3, 1, 5, 1, 1, 1, 1, 1, 1, 0, 1, 5, 5, 5, 4, 2, 2, 4, 4, 2, 2, 0, 4, 5, 2, 1, 4, 2, 1, 1, 2, 1, 1, 1, 4, 1, 0, 1, 5, 4, 4, 4, 1, 1, 1, 1, 1, 3, 0, 4, 2, 5, 1, 4, 5, 4, 1, 4, 4, 1, 1, 3, 5, 1, 4, 4, 4, 4, 4, 2, 0, 0, 2, 4, 4, 2, 5, 4, 0, 4, 3, 4, 2, 4, 1, 1, 1, 1, 4, 4, 4, 1, 1, 1, 2, 4, 1, 2, 2, 4, 1, 1, 2, 1, 1, 1, 1
19, 3, 1, 4, 5, 1, 1, 4, 2, 2, 4, 4, 4, 4, 4, 4, 1, 2, 1, 2, 1, 4, 1, 3, 1, 1, 1, 1, 3, 0, 0, 3, 2, 0, 0, 3, 3, 3, 3, 2, 2, 4, 4, 4, 4, 2, 5, 4, 4, 4, 1, 4, 3, 0, 4, 4, 1, 1, 4, 1, 5, 5, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 4, 1, 1, 1, 1, 0, 4, 1, 5, 4, 0, 4, 4, 1, 5, 1, 4, 4, 1, 1, 1, 1, 1, 1, 2, 4, 1, 2, 3, 3, 4, 1, 1, 4, 0, 2, 3, 3, 0, 0, 0, 3, 3, 4, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 1, 4, 4, 0, 0, 1, 1, 4, 3, 4, 4, 5, 4, 3, 3, 3, 3, 0, 3, 3, 3, 2, 4, 0, 5, 0, 4, 3, 2, 1, 4, 5, 5, 4, 0, 0, 0, 2, 1, 0, 0, 1, 1, 4, 2, 2, 3, 4, 4, 1, 4, 4, 5, 4, 1, 4, 4, 4, 4, 3, 4, 4, 3, 0, 1, 3, 3, 3, 0, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 2, 1, 5, 1, 1, 2, 4, 4, 1, 2, 1, 0, 2, 1, 1, 2, 1, 1, 1, 0, 1, 4, 1, 1, 4, 4, 4, 1, 1, 1, 1, 4, 3, 4, 4, 2, 1, 5, 1, 1, 1, 1, 5, 5, 5, 5, 3, 0, 1, 0, 0, 0, 0, 4, 2, 4, 4, 2, 4, 0, 2, 0, 0, 4, 4, 3, 4, 2, 0, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 2, 2, 4, 1, 1, 0, 5, 5, 1, 1
20, 3, 1, 4, 1, 1, 1, 4, 4, 2, 4, 4, 1, 1, 0, 0, 1, 3, 1, 2, 1, 0, 1, 3, 1, 1, 1, 1, 3, 0, 5, 3, 5, 0, 0, 3, 3, 3, 3, 2, 2, 4, 4, 4, 4, 2, 1, 4, 1, 4, 4, 4, 3, 0, 1, 0, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 2, 1, 1, 2, 5, 1, 5, 0, 1, 1, 4, 1, 0, 4, 5, 4, 4, 0, 4, 4, 4, 5, 1, 0, 4, 1, 1, 1, 1, 1, 1, 2, 0, 1, 3, 3, 3, 4, 1, 1, 0, 4, 2, 3, 3, 0, 0, 0, 3, 3, 4, 0, 1, 1, 1, 3, 1, 5, 2, 2, 1, 4, 5, 4, 1, 5, 1, 4, 4, 5, 0, 0, 5, 5, 1, 1, 0, 3, 0, 4, 1, 4, 3, 3, 3, 3, 0, 3, 3, 3, 2, 0, 0, 5, 0, 4, 3, 4, 1, 0, 5, 5, 4, 5, 0, 0, 2, 1, 5, 5, 5, 5, 0, 2, 2, 3, 1, 4, 1, 4, 4, 5, 4, 1, 0, 4, 4, 4, 3, 4, 4, 3, 0, 1, 5, 3, 3, 5, 0, 3, 1, 1, 1, 1, 5, 5, 1, 1, 4, 1, 5, 5, 5, 4, 2, 2, 4, 4, 2, 2, 4, 4, 5, 2, 1, 0, 2, 1, 1, 2, 1, 1, 1, 1, 1, 4, 1, 5, 0, 4, 4, 1, 5, 1, 1, 1, 3, 4, 0, 2, 5, 1, 4, 5, 4, 1, 4, 4, 1, 1, 3, 5, 1, 0, 0, 0, 0, 0, 2, 4, 4, 2, 0, 0, 2, 5, 0, 4, 0, 3, 4, 2, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 2, 0, 1, 2, 2, 0, 5, 1, 2, 1, 1, 5, 1
21, 0, 1, 0, 4, 1, 1, 4, 2, 2, 4, 4, 1, 1, 0, 1, 1, 3, 1, 2, 1, 0, 1, 3, 1, 1, 5, 1, 3, 0, 5, 3, 3, 0, 0, 3, 3, 0, 2, 2, 2, 4, 4, 0, 4, 2, 4, 0, 1, 2, 4, 4, 3, 0, 1, 1, 4, 4, 4, 4, 4, 4, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 0, 1, 1, 4, 1, 5, 2, 4, 4, 4, 0, 0, 4, 4, 5, 1, 0, 0, 5, 1, 1, 1, 1, 1, 2, 0, 1, 3, 3, 3, 0, 1, 1, 0, 0, 2, 3, 3, 0, 0, 0, 3, 3, 4, 1, 1, 1, 5, 3, 1, 5, 4, 4, 4, 4, 4, 4, 4, 4, 1, 0, 0, 1, 0, 0, 5, 5, 1, 1, 1, 3, 0, 0, 4, 2, 3, 2, 3, 4, 0, 3, 3, 3, 2, 0, 0, 1, 3, 5, 3, 0, 1, 0, 1, 1, 4, 5, 0, 0, 2, 5, 5, 5, 1, 1, 0, 2, 2, 3, 1, 0, 1, 0, 2, 1, 2, 4, 0, 0, 0, 0, 3, 2, 0, 2, 0, 1, 3, 3, 3, 5, 0, 3, 1, 1, 1, 1, 1, 1, 1, 1, 4, 5, 1, 1, 1, 4, 4, 4, 4, 4, 2, 2, 0, 4, 1, 2, 1, 0, 2, 1, 1, 2, 1, 1, 1, 1, 1, 0, 1, 1, 0, 2, 4, 5, 1, 1, 1, 1, 0, 0, 0, 2, 1, 4, 4, 1, 4, 1, 4, 4, 4, 4, 3, 5, 1, 0, 0, 0, 5, 0, 0, 0, 0, 2, 0, 0, 2, 5, 0, 0, 0, 3, 4, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 4, 4, 1, 1
22, 3, 1, 0, 4, 1, 1, 0, 2, 2, 4, 4, 1, 5, 0, 5, 1, 3, 1, 0, 1, 0, 1, 3, 1, 1, 1, 1, 3, 4, 1, 3, 3, 0, 4, 3, 3, 4, 3, 2, 2, 0, 0, 0, 0, 2, 4, 0, 5, 0, 4, 4, 3, 0, 5, 5, 4, 4, 4, 4, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 0, 1, 1, 4, 1, 1, 2, 4, 4, 4, 4, 0, 4, 4, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 2, 4, 1, 3, 3, 3, 0, 1, 1, 0, 0, 0, 4, 3, 4, 4, 4, 3, 3, 4, 1, 1, 1, 1, 3, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 5, 3, 4, 0, 4, 0, 3, 3, 3, 3, 3, 3, 3, 3, 2, 0, 0, 1, 1, 2, 3, 0, 1, 4, 1, 1, 1, 1, 4, 4, 2, 1, 1, 1, 1, 1, 0, 2, 2, 3, 5, 0, 1, 0, 0, 1, 2, 4, 0, 0, 2, 0, 3, 2, 0, 3, 0, 1, 3, 3, 3, 1, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 4, 4, 4, 4, 4, 2, 2, 0, 4, 1, 2, 1, 4, 2, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 2, 4, 1, 1, 1, 1, 1, 4, 0, 4, 2, 1, 4, 4, 1, 4, 1, 4, 4, 4, 4, 3, 1, 1, 4, 4, 4, 1, 0, 2, 0, 0, 2, 4, 4, 2, 1, 4, 0, 4, 3, 1, 2, 4, 1, 5, 5, 1, 4, 5, 5, 1, 5, 5, 2, 1, 5, 2, 2, 5, 1, 1, 2, 4, 4, 1, 1
23, 3, 1, 0, 4, 1, 1, 0, 2, 2, 4, 4, 1, 1, 0, 1, 1, 3, 5, 0, 5, 0, 5, 3, 5, 1, 5, 5, 3, 4, 1, 3, 2, 0, 4, 3, 3, 4, 3, 2, 2, 0, 0, 0, 0, 2, 4, 0, 1, 0, 4, 4, 3, 0, 1, 1, 4, 4, 4, 4, 4, 4, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 1, 1, 2, 1, 1, 1, 0, 5, 5, 4, 1, 1, 2, 4, 4, 4, 4, 0, 4, 4, 1, 1, 0, 0, 5, 5, 1, 1, 1, 1, 2, 4, 1, 3, 3, 3, 0, 1, 1, 0, 0, 0, 4, 3, 4, 4, 4, 3, 3, 4, 1, 5, 5, 5, 3, 5, 1, 4, 4, 4, 4, 4, 4, 4, 4, 5, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 3, 4, 0, 4, 0, 3, 3, 3, 3, 3, 3, 3, 3, 2, 0, 0, 1, 1, 2, 3, 0, 1, 4, 1, 1, 1, 1, 4, 4, 2, 5, 1, 1, 1, 1, 0, 2, 2, 3, 1, 0, 1, 0, 0, 1, 2, 4, 0, 0, 2, 0, 3, 2, 0, 3, 0, 1, 3, 3, 3, 1, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 0, 5, 1, 1, 1, 4, 4, 4, 4, 4, 2, 2, 0, 4, 1, 2, 1, 4, 2, 1, 5, 2, 5, 5, 5, 5, 5, 0, 1, 1, 0, 2, 4, 5, 1, 1, 1, 1, 4, 0, 4, 2, 1, 4, 4, 1, 4, 5, 4, 4, 4, 4, 3, 1, 1, 4, 4, 4, 1, 0, 2, 0, 0, 2, 4, 4, 2, 1, 4, 0, 4, 3, 1, 2, 4, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 4, 4, 1, 1
